laisser,let
feu,fire
jouer,to play
ie,ie
train,train
gros,large
compte,account
s,s
savais,knew
mourir,die
pouvoir,power
regardez,look
parlé,spoken
donné,given
première,first
aura,will have
dernière,latest
minutes,minutes
aucune,any/none
mari,husband
enfin,finally
madame,Mrs
façon,way
devrait,should
mis,placed
film,movie
femmes,women
fort,strong
pourrais,could
écoute,listening
pays,country
parti,left
affaire,case
endroit,place
corps,body
ia,ia
fou,crazy
vivre,live
prêt,ready
dont,of which
espère,hope
grande,great
cause,cause
point,point
filles,girls
dehors,outside
hier,yesterday
boulot,job
pensais,thought
garçon,boy
près,near
désolée,sorry
cinq,five
h,h
ainsi,so/thus
haut,top
celui,that
demandé,request
dirait,would say
bébé,baby
possible,possible
école,school
plein,full
mains,hands
années,years
dites,say
nouvelle,new
manger,eat
docteur,doctor
tour,tower
croire,believe
quatre,four
plutôt,rather
marche,market
semaine,week
vérité,truth
envie,desire
capitaine,captain
e,e
arrêter,stop
affaires,business
bientôt,soon
vue,view
demander,request
dernier,latest
instant,moment
essaie,try
arriver,arrive
font,make
tellement,so much
derrière,behind
tomber,fall
presque,almost
voulait,wanted to
meilleur,better
numéro,number
dr,dr
journée,day
appeler,call
dollars,dollars
c,c
attendre,expect
confiance,trust
garde,keep
souviens,remember
dur,hard
serai,will
bureau,office
voyez,see
abord,on board
important,important
devez,must
ben,ben
peine,trouble
cours,course
fera,will
prend,take
seigneur,lord
suffit,enough
route,road
cul,a**
ils,they
minute,minute
bonsoir,good evening
jeu,game
croyais,thought
ferme,closed
plaisir,pleasure
voudrais,would like
heureux,happy
mot,word
